date,fold_id,strategy_return,benchmark_return,active_return,strategy_nav,benchmark_nav,portfolio_position,portfolio_turnover,portfolio_transaction_cost,portfolio_boundary_cost_adjustment,trade_event_count,stock_count,strategy_drawdown,benchmark_drawdown
2022-09-05,2,0.0,0.0008135779811642152,-0.0008135779811642152,0.8496062480098467,0.7688727340760402,0.0,0.0,0.0,0.0,0,5,-0.17158795811749294,-0.24530507979907012
2022-09-06,2,0.005901765329949793,-0.002547699621184396,0.008449464951134189,0.8546204247084599,0.7669138773026957,0.15006358311227103,0.15006358311227103,7.503179155613552e-05,0.0,1,5,-0.16669886464979788,-0.24722781576137576
2022-09-07,2,-0.0028323857517292828,0.0012169428342374555,-0.004049328585966738,0.8521998099943788,0.7678471676501564,0.15505027808661018,0.0,0.0,0.0,0,5,-0.16905909491246363,-0.24631173504595338
2022-09-08,2,0.0004581340238505316,-0.014504673764626386,0.014962807788476917,0.8525902317224563,0.7567097949822985,0.15265025674708899,0.0,0.0,0.0,0,5,-0.16867841261203387,-0.25724373744933904
2022-09-09,2,0.005037166564971773,0.02199323690242494,-0.016956070337453166,0.8568848707313101,0.7733522927697296,0.15303827872850273,0.0,0.0,0.0,0,5,-0.16449090730730398,-0.2409081230063027
2022-09-13,2,0.002663649065478113,0.013878434141852525,-0.011214785076374412,0.8591673113164559,0.784085211633385,0.2921996136689718,0.13491642996965983,6.745821498482992e-05,0.0,1,5,-0.16226540429335468,-0.2303731163838304
2022-09-14,2,-0.004684027221675047,-0.02222980576422129,0.017545778542546242,0.8551429482422762,0.7666551496761764,0.29407993698512347,0.0,0.0,0.0,0,5,-0.1661893759441836,-0.2474817725175409
2022-09-15,2,0.014433881257610581,0.004718778899662546,0.009715102357948036,0.8674859800154883,0.770272825819786,0.4887436538856505,0.1979858265440187,9.899291327200934e-05,0.0,1,5,-0.15415425240522773,-0.24393080538408518
2022-09-16,2,-0.01483994796010657,-0.020835890654293587,0.0059959426941870175,0.8546125332159363,0.7542235054470312,0.4960180692303607,0.0,0.0,0.0,0,5,-0.16670655928181155,-0.25968418045018216
2022-09-19,2,0.002413472425640828,0.006647039395058618,-0.00423356696941779,0.85667511699946,0.7592368588004169,0.48842634277944613,0.0,0.0,0.0,0,5,-0.16469542854017094,-0.2547632720328493
2022-09-20,2,-0.010843249416131129,-0.007142306819262756,-0.003700942596868373,0.8473859750372416,0.753814156206371,0.4896580390298949,0.0,0.0,0.0,0,5,-0.17375284434694438,-0.26008598139697425
2022-09-21,2,0.00021026812527025207,-0.0037220410032191564,0.0039323091284894085,0.8475641532975929,0.7510084290081639,0.4840636120929613,0.0,0.0,0.0,0,5,-0.17357911090651534,-0.2628399717130713
2022-09-22,2,-0.003492260220198995,-0.010169102303175692,0.006676842082976697,0.8446042387209651,0.7433713474630326,0.4841720742638678,0.0,0.0,0.0,0,5,-0.17646518770263797,-0.270336227454533
2022-09-23,2,0.0013164750630501043,0.004379273486537105,-0.003062798423487001,0.8457161391393877,0.7466267738956288,0.48236435589540416,0.0,0.0,0.0,0,5,-0.17538102465869487,-0.26714083024133806
2022-09-26,2,-0.006191691926112353,0.00418024921131388,-0.010371941137426233,0.8404797253488955,0.7497478598783519,0.4830449143743473,0.0,0.0,0.0,0,5,-0.18048681131043465,-0.26407729627495014
2022-09-27,2,0.0026910571542302364,0.0067876943936162615,-0.004096637239386025,0.8427415043267811,0.754836919223474,0.4798241457373508,0.0,0.0,0.0,0,5,-0.1782814544810255,-0.2590820778647407
2022-09-28,2,-0.002874732471364716,-0.011066684028497531,0.008191951557132815,0.8403188479593261,0.7464833775453833,0.48122021179786223,0.0,0.0,0.0,0,5,-0.18064367546615157,-0.2672815824000625
2022-09-29,2,-0.005816816925876878,-0.008114598119993821,0.0022977811941169435,0.8354308670613829,0.7404259649333469,0.3488079233451576,0.13091663574867793,6.545831787433896e-05,0.0,1,5,-0.18540972120302435,-0.2732272978940038
2022-09-30,2,0.008913317623174155,-0.0018375386521494175,0.010750856275323573,0.8428773277317049,0.7390654036037269,0.345063737324933,0.0,0.0,0.0,0,5,-0.17814901931535687,-0.27456277082545066
2022-10-10,2,-0.011186077387427162,-0.030213796767336598,0.019027719379909436,0.8334488367155902,0.7167354317014742,0.3508498190726794,0.0,0.0,0.0,0,5,-0.18734230798622808,-0.2964809838351903
2022-10-11,2,-0.0071192505926744865,0.0026618187492435386,-0.009781069341918025,0.8275153055908389,0.7186432515118244,0.15823941906781283,0.18526680987748476,9.263340493874237e-05,0.0,1,5,-0.1931278217417387,-0.29460834372751343
2022-10-12,2,0.0017928400316844506,0.012809478215519698,-0.011016638183835248,0.8289989081575337,0.7278486965867954,0.1522970426915211,0.0,0.0,0.0,0,5,-0.19168122900010487,-0.28557264467308163
2022-10-13,2,-0.0033908807532767593,-0.02431468182109786,0.0209238010678211,0.8261878717153749,0.7101512871153867,0.15381411861391636,0.0,0.0,0.0,0,5,-0.1944221415632007,-0.3029437185021441
2022-10-14,2,0.0019847438023041786,0.01928684715540885,-0.01730210335310467,0.8278276429733008,0.723847866447198,0.1509350405847535,0.0,0.0,0.0,0,5,-0.1928232759013948,-0.2894997005421772
2022-10-17,2,-0.003772975994619787,-0.013201648573702762,0.009428672579082975,0.8247042691486799,0.7142918812935376,0.15261687898237042,0.0,0.0,0.0,0,5,-0.19586873430483465,-0.29887947580713004
2022-10-18,2,-0.0019883142591448077,-0.005376656339093122,0.0033883420799483144,0.823064497890754,0.710451379322018,0.14940761433003125,0.0,0.0,0.0,0,5,-0.19746759996664054,-0.3026491599179999
2022-10-19,2,-0.0018974052657022566,-0.01390225918259902,0.012004853916896763,0.8215028109784435,0.7005745001100483,0.14771299993491802,0.0,0.0,0.0,0,5,-0.19899032916836057,-0.31234391203802303
2022-10-20,2,-7.304639595084872e-05,-0.014043992485390122,0.013970946089439273,0.821442803158838,0.6907356370950468,0.0,0.1460927919018515,7.304639595092577e-05,0.0,1,5,-0.19904884003793655,-0.32200134896989374
2022-10-21,2,0.0,-0.007149141056090325,0.007149141056090325,0.821442803158838,0.6857974705929859,0.0,0.0,0.0,0.0,0,5,-0.19904884003793655,-0.326848456961947
2022-10-24,2,0.0,-0.04474575235832434,0.04474575235832434,0.821442803158838,0.6551109468058669,0.0,0.0,0.0,0.0,0,5,-0.19904884003793655,-0.3569691292063516
2022-10-25,2,0.0,-0.0034624991520941784,0.0034624991520941784,0.821442803158838,0.652842625708024,0.0,0.0,0.0,0.0,0,5,-0.19904884003793655,-0.35919562305124497
2022-10-26,2,0.0,-0.010333082955877315,0.010333082955877315,0.821442803158838,0.6460967486994502,0.0,0.0,0.0,0.0,0,5,-0.19904884003793655,-0.3658171078367458
2022-10-27,2,0.0,-0.01859990600536776,0.01859990600536776,0.821442803158838,0.6340794099032667,0.0,0.0,0.0,0.0,0,5,-0.19904884003793655,-0.3776128500211946
2022-10-28,2,0.0,-0.03975630513914852,0.03975630513914852,0.821442803158838,0.6088707554007012,0.0,0.0,0.0,0.0,0,5,-0.19904884003793655,-0.40235666347043697
2022-10-31,2,0.0,-0.01094875445200394,0.01094875445200394,0.821442803158838,0.6022043790068128,0.0,0.0,0.0,0.0,0,5,-0.19904884003793655,-0.40890011361197554
2022-11-01,2,0.0,0.045414885309297714,-0.045414885309297714,0.821442803158838,0.629553421812164,0.0,0.0,0.0,0.0,0,5,-0.19904884003793655,-0.38205538006532447
2022-11-02,2,0.0,0.006808908956546622,-0.006808908956546622,0.821442803158838,0.6338399937445655,0.0,0.0,0.0,0.0,0,5,-0.19904884003793655,-0.3778478514080015
2022-11-03,2,0.0,-0.01844652367671229,0.01844652367671229,0.821442803158838,0.6221478492927092,0.0,0.0,0.0,0.0,0,5,-0.19904884003793655,-0.3893243957475212
2022-11-04,2,0.0,0.04337165998217962,-0.04337165998217962,0.821442803158838,0.6491314342708769,0.0,0.0,0.0,0.0,0,5,-0.19904884003793655,-0.3628383810804705
2022-11-07,2,0.0,0.00677307166527763,-0.00677307166527763,0.821442803158838,0.6535280479953781,0.0,0.0,0.0,0.0,0,5,-0.19904884003793655,-0.3585228397731641
2022-11-08,2,0.0,-0.003713065263912241,0.003713065263912241,0.821442803158838,0.6511014557013741,0.0,0.0,0.0,0.0,0,5,-0.19904884003793655,-0.36090468633439543
2022-11-09,2,0.0,-0.007856624467688644,0.007856624467688644,0.821442803158838,0.645985996073563,0.0,0.0,0.0,0.0,0,5,-0.19904884003793655,-0.3659258182129258
2022-11-10,2,0.0,-0.009568454634362622,0.009568454634362622,0.821442803158838,0.6398049083756996,0.0,0.0,0.0,0.0,0,5,-0.19904884003793655,-0.371992928256176
2022-11-11,2,0.0,0.059103817268739256,-0.059103817268739256,0.821442803158838,0.6776198207679794,0.0,0.0,0.0,0.0,0,5,-0.19904884003793655,-0.33487531304435303
2022-11-14,2,0.0,0.015595870402348,-0.015595870402348,0.821442803158838,0.6881878916747391,0.0,0.0,0.0,0.0,0,5,-0.19904884003793655,-0.3245021146251904
2022-11-15,2,0.0,0.014405063935533091,-0.014405063935533091,0.821442803158838,0.6981012822539735,0.0,0.0,0.0,0.0,0,5,-0.19904884003793655,-0.3147715243980489
2022-11-16,2,0.0,-0.016381082586026996,0.016381082586026996,0.821442803158838,0.6866656274959598,0.0,0.0,0.0,0.0,0,5,-0.19904884003793655,-0.32599630864718177
2022-11-17,2,0.0,-0.01665995585340374,0.01665995585340374,0.821442803158838,0.6752258084558274,0.0,0.0,0.0,0.0,0,5,-0.19904884003793655,-0.3372251803901509
2022-11-18,2,0.0,-0.0006925819280116929,0.0006925819280116929,0.821442803158838,0.6747581592635638,0.0,0.0,0.0,0.0,0,5,-0.19904884003793655,-0.3376842062525539
2022-11-21,2,-0.0029359562229986924,-0.009211653095497319,0.006275696872498626,0.8190310830490664,0.6685425211770715,0.32173866716862676,0.32173866716862676,0.0001608693335843134,0.0,2,5,-0.20140039758034511,-0.3437852295842243
2022-11-22,2,0.007632846777684721,0.005931056716936833,0.0017017900607478875,0.825282621812141,0.6725076847878566,0.319741457868608,0.0,0.0,0.0,0,5,-0.19530480917835613,-0.33989318256239676
2022-11-23,2,-0.0012905341844030582,0.0017036565358501399,-0.002994190720253198,0.8242175663768986,0.6736534069004548,0.3248944352034623,0.0,0.0,0.0,0,5,-0.1963432958301362,-0.33876858726851
