date,symbol,open,high,low,close,volume,amount,turnover,asset_return,fast_ma,slow_ma,signal,position,position_change,gross_strategy_return,transaction_cost,strategy_return,strategy_nav,benchmark_nav,strategy_rolling_max,strategy_drawdown,source_position_change,source_transaction_cost,fold_id,test_start,test_end,selected_fast_window,selected_slow_window,selected_ma_param,is_fold_start,is_parameter_switch,boundary_cost_adjustment,stock_strategy_nav,stock_benchmark_nav
2023-02-28,000001,11.27,11.35,11.16,11.3,60793592.0,833316018.0,0.0031327945641851,0.007130124777183555,11.4815,11.359833333333334,1.0,1.0,0.0,0.007130124777183555,0.0,0.007130124777183555,1.843416473971987,1.3797313797313773,2.4744336031362724,-0.2550147752457329,0.0,0.0,2,2022-06-11,2023-06-10,20,60,20/60,False,False,0.0,0.8861672046777956,0.5797845048742944
2023-03-01,000001,11.31,11.63,11.26,11.62,122345178.0,1719710647.0,0.0063046498156033,0.028318584070796238,11.459999999999999,11.376000000000001,1.0,1.0,0.0,0.028318584070796238,0.0,0.028318584070796238,1.8956194183676534,1.418803418803416,2.4744336031362724,-0.23391784852702813,0.0,0.0,2,2022-06-11,2023-06-10,20,60,20/60,False,False,0.0,0.9112622051642463,0.5962031811185221
2023-03-02,000001,11.58,11.84,11.53,11.67,101587684.0,1447565980.0,0.0052349817431968,0.004302925989672968,11.444999999999999,11.3925,1.0,1.0,0.0,0.004302925989672968,0.0,0.004302925989672968,1.9037761284294763,1.424908424908422,2.4744336031362724,-0.23062145372723053,0.0,0.0,2,2022-06-11,2023-06-10,20,60,20/60,False,False,0.0,0.9151832989902542,0.5987685992816827
2023-03-03,000001,11.76,11.78,11.59,11.71,69095439.0,985552121.0,0.0035606025008225,0.003427592116538314,11.4435,11.408666666666667,1.0,1.0,0.0,0.003427592116538314,0.0,0.003427592116538314,1.910301496478935,1.4297924297924272,2.4744336031362724,-0.22798433788739225,0.0,0.0,2,2022-06-11,2023-06-10,20,60,20/60,False,False,0.0,0.9183201740510607,0.6008209338122112
2023-03-06,000001,11.72,11.72,11.25,11.35,145582414.0,2023954547.0,0.0075021031035664,-0.03074295473953892,11.437,11.421500000000002,1.0,1.0,0.0,-0.03074295473953892,0.0,-0.03074295473953892,1.8515731840338097,1.3858363858363831,2.4744336031362724,-0.2517183804459353,0.0,0.0,2,2022-06-11,2023-06-10,20,60,20/60,False,False,0.0,0.8900882985038034,0.5823499230374549
2023-03-07,000001,11.35,11.56,11.19,11.22,127926629.0,1773654737.0,0.006592271237168,-0.011453744493391982,11.4155,11.423666666666666,0.0,1.0,0.0,-0.011453744493391982,0.0,-0.011453744493391982,1.8303657378730702,1.3699633699633673,2.4744336031362724,-0.2602890069254091,0.0,0.0,2,2022-06-11,2023-06-10,20,60,20/60,False,False,0.0,0.8798934545561828,0.5756798358132375
2023-03-08,000001,11.17,11.18,10.99,11.09,109689791.0,1479838980.0,0.0056524967465552,-0.011586452762923471,11.394499999999999,11.425,0.0,0.0,-1.0,-0.0,0.0005,-0.0005,1.8294505550041338,1.3540903540903513,2.4744336031362724,-0.26065886242194636,-1.0,0.0005,2,2022-06-11,2023-06-10,20,60,20/60,False,False,0.0,0.8794535078289047,0.5690097485890199
2023-03-09,000001,11.1,11.13,10.76,10.82,173606476.0,2305765842.0,0.0089462294697135,-0.024346257889990897,11.3565,11.425666666666668,0.0,0.0,0.0,-0.0,0.0,-0.0,1.8294505550041338,1.3211233211233184,2.4744336031362724,-0.26065886242194636,0.0,0.0,2,2022-06-11,2023-06-10,20,60,20/60,False,False,0.0,0.8794535078289047,0.5551564905079527
2023-03-10,000001,10.66,10.88,10.66,10.77,85699610.0,1128558360.0,0.004416242954698,-0.004621072088724643,11.322,11.422666666666666,0.0,0.0,0.0,-0.0,0.0,-0.0,1.8294505550041338,1.3150183150183123,2.4744336031362724,-0.26065886242194636,0.0,0.0,2,2022-06-11,2023-06-10,20,60,20/60,False,False,0.0,0.8794535078289047,0.5525910723447921
2023-03-13,000001,10.76,10.9,10.66,10.7,100063496.0,1309490079.0,0.0051564378091388,-0.006499535747446661,11.2905,11.413833333333335,0.0,0.0,0.0,-0.0,0.0,-0.0,1.8294505550041338,1.3064713064713038,2.4744336031362724,-0.26065886242194636,0.0,0.0,2,2022-06-11,2023-06-10,20,60,20/60,False,False,0.0,0.8794535078289047,0.5489994869163672
2023-03-14,000001,10.65,10.66,10.44,10.55,114907558.0,1474124199.0,0.0059213769287755,-0.014018691588784882,11.245999999999999,11.4105,0.0,0.0,0.0,-0.0,0.0,-0.0,1.8294505550041338,1.2881562881562858,2.4744336031362724,-0.26065886242194636,0.0,0.0,2,2022-06-11,2023-06-10,20,60,20/60,False,False,0.0,0.8794535078289047,0.5413032324268855
2023-03-15,000001,10.7,10.8,10.61,10.7,97936372.0,1278262225.0,0.0050468235836042,0.0142180094786728,11.220500000000001,11.408,0.0,0.0,0.0,0.0,0.0,0.0,1.8294505550041338,1.3064713064713038,2.4744336031362724,-0.26065886242194636,0.0,0.0,2,2022-06-11,2023-06-10,20,60,20/60,False,False,0.0,0.8794535078289047,0.5489994869163671
2023-03-16,000001,10.57,10.68,10.49,10.51,91679249.0,1182054434.0,0.0047243836639193,-0.017757009345794383,11.188500000000001,11.402333333333335,0.0,0.0,0.0,-0.0,0.0,-0.0,1.8294505550041338,1.2832722832722807,2.4744336031362724,-0.26065886242194636,0.0,0.0,2,2022-06-11,2023-06-10,20,60,20/60,False,False,0.0,0.8794535078289047,0.5392508978963568
2023-03-17,000001,10.65,10.69,10.37,10.45,155681414.0,2000832408.0,0.008022521313165,-0.0057088487155091405,11.160499999999999,11.3975,0.0,0.0,0.0,-0.0,0.0,-0.0,1.8294505550041338,1.2759462759462732,2.4744336031362724,-0.26065886242194636,0.0,0.0,2,2022-06-11,2023-06-10,20,60,20/60,False,False,0.0,0.8794535078289047,0.5361723961005641
2023-03-20,000001,10.46,10.53,10.29,10.3,118881633.0,1505893659.0,0.0061261676007539,-0.014354066985645786,11.0955,11.386833333333334,0.0,0.0,0.0,-0.0,0.0,-0.0,1.8294505550041338,1.2576312576312552,2.4744336031362724,-0.26065886242194636,0.0,0.0,2,2022-06-11,2023-06-10,20,60,20/60,False,False,0.0,0.8794535078289047,0.5284761416110824
2023-03-21,000001,10.37,10.48,10.25,10.41,84074317.0,1060914056.0,0.0043324889124034,0.010679611650485477,11.038,11.382166666666668,0.0,0.0,0.0,0.0,0.0,0.0,1.8294505550041338,1.2710622710622685,2.4744336031362724,-0.26065886242194636,0.0,0.0,2,2022-06-11,2023-06-10,20,60,20/60,False,False,0.0,0.8794535078289047,0.5341200615700357
2023-03-22,000001,10.45,10.56,10.42,10.49,87669077.0,1121080753.0,0.0045177328536983,0.007684918347742542,10.988000000000001,11.382666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.8294505550041338,1.2808302808302783,2.4744336031362724,-0.26065886242194636,0.0,0.0,2,2022-06-11,2023-06-10,20,60,20/60,False,False,0.0,0.8794535078289047,0.5382247306310927
