fast_window,slow_window,ma_param,stock_count,valid_sharpe_count,avg_strategy_annual_return,median_strategy_annual_return,std_strategy_annual_return,avg_excess_annual_return,median_excess_annual_return,std_excess_annual_return,worst_excess_annual_return,avg_strategy_sharpe,median_strategy_sharpe,std_strategy_sharpe,worst_strategy_sharpe,avg_sharpe_diff,avg_strategy_max_drawdown,avg_drawdown_improvement,avg_exposure,avg_trade_count,avg_transaction_cost,return_win_rate,sharpe_win_rate,drawdown_win_rate,local_parameter_count,local_mean,local_std,local_min,local_max,local_range,point_minus_local_mean,is_local_peak,robustness_metric,fast_radius,slow_radius,stability_penalty,robustness_score
15,70,15/70,5,5,-0.07004125970721627,-0.08147658906758115,0.13766183357311634,0.010855320602057761,0.037397261953332483,0.055529373720450165,-0.08670374983187379,-0.4007969858108463,-0.4248150460181019,0.6701929945731255,-1.3099635108435315,-0.28515297272416296,-0.4162349900412434,0.16508190624934335,0.4133481646273637,16.8,0.008400000000000001,0.8,0.2,1.0,9,-0.3596703966803239,0.10622963171708073,-0.4941930245014813,-0.139335117127285,0.3548579073741963,-0.04112658913052236,False,avg_strategy_sharpe,5,10,1.0,-0.46590002839740463
25,80,25/80,5,5,-0.06509770132118578,-0.05336056594104832,0.09399226860607379,0.022047342692397543,-0.013301969292735527,0.06322237950363022,-0.036397645604029805,-0.3714059702517315,-0.24083364712133154,0.6365850433225844,-1.4353024916295136,-0.2369471662574659,-0.38189976945804716,0.19758066409350386,0.40044994375703036,13.2,0.0066,0.4,0.2,1.0,9,-0.4202834174559206,0.05215364672858502,-0.5400095392949406,-0.3634253227660814,0.17658421652885914,0.04887744720418913,False,avg_strategy_sharpe,5,10,1.0,-0.47243706418450565
25,70,25/70,5,5,-0.06862275580812471,-0.0492891242411736,0.13023726576231345,0.01227382450114931,0.010353119710688974,0.055576584613067304,-0.06138972130033482,-0.4219550300681359,-0.2611896690825559,0.8000324999483087,-1.7267034863698751,-0.3063110169814526,-0.39425909694667666,0.1870577993439101,0.400222469410456,15.6,0.0078,0.6,0.4,1.0,9,-0.4272888997969449,0.04872217914087712,-0.5294898427024466,-0.3634253227660814,0.16606451993636517,0.005333869728809004,False,avg_strategy_sharpe,5,10,1.0,-0.476011078937822
30,50,30/50,5,5,-0.05537248109059869,-0.06375491611828632,0.15521961167095072,0.014785597288196861,0.042612105898208075,0.057683626859212876,-0.08783057084027424,-0.3453381726860978,-0.29637827785087323,0.7765339192118026,-1.4727490064551538,-0.2553189389542031,-0.40218630005827044,0.18330887031350301,0.4047878128400435,21.0,0.010499999999999999,0.8,0.2,1.0,8,-0.3481184693744539,0.13732384509365808,-0.5294898427024466,-0.12769984790311725,0.4017899947993293,0.0027802966883561098,False,avg_strategy_sharpe,5,10,1.0,-0.485442314468112
25,60,25/60,5,5,-0.06813800075033441,-0.07577886675221857,0.15577257387406593,0.00951842482058871,0.026498450983837407,0.06145998131396836,-0.0989021996234909,-0.4567500790593697,-0.40233836750573054,0.8136761868970135,-1.6175766697237102,-0.34287822054443506,-0.41173909590785335,0.17074543033763967,0.4,18.6,0.0093,0.8,0.2,1.0,9,-0.36952794295965663,0.11693427110481999,-0.5294898427024466,-0.12769984790311725,0.4017899947993293,-0.08722213609971308,False,avg_strategy_sharpe,5,10,1.0,-0.48646221406447665
20,80,20/80,5,5,-0.07938497660567216,-0.06121954393122464,0.10664817940814911,0.0077600674079111535,-0.009431618383397677,0.04036078618987452,-0.027240867089388,-0.4600374467821238,-0.29930309966081786,0.6643644844376915,-1.5223686500646252,-0.3255786427878583,-0.41726879738758454,0.16221163616396644,0.40629921259842516,13.6,0.0068000000000000005,0.4,0.0,1.0,9,-0.43120147497009836,0.06096399443559637,-0.561212691208733,-0.3634253227660814,0.19778736844265155,-0.028835971812025463,False,avg_strategy_sharpe,5,10,1.0,-0.4921654694056947
10,80,10/80,5,5,-0.06618956829058684,-0.07655046214939842,0.12314779539107262,0.020955475722996476,0.054266053709840056,0.062187092357733814,-0.06284025149877892,-0.37940702363379686,-0.41257752798599345,0.6012832252252752,-1.150585763390181,-0.2449482196395313,-0.39870721696757006,0.180773216583981,0.40832395950506184,18.8,0.0094,0.6,0.2,1.0,9,-0.33712917258089575,0.16322035329477783,-0.561212691208733,-0.05100532157724265,0.5102073696314903,-0.042277851052901105,False,avg_strategy_sharpe,5,10,1.0,-0.5003495258756736
35,50,35/50,5,5,-0.046716142806281356,-0.013466698163861035,0.14310544380584683,0.023441935572514193,0.023663149960783336,0.06677308092289501,-0.05364106244757749,-0.2316871683830458,0.01128752502734115,0.8084771844723454,-1.5697985940101635,-0.14166793465115107,-0.3667123492611939,0.21878282111057956,0.41240478781284,24.2,0.012100000000000001,0.6,0.4,1.0,7,-0.407989763672565,0.10237158267145785,-0.5294898427024466,-0.2316871683830458,0.2978026743194008,0.17630259528951922,True,avg_strategy_sharpe,5,10,1.0,-0.5103613463440229
15,80,15/80,5,5,-0.08704073467541631,-0.08514764482237358,0.11050803684291481,0.00010430933816700794,-0.006036332570159231,0.03762191629027515,-0.04856183602753572,-0.4941930245014813,-0.42666107771952033,0.6592450477403864,-1.4921957546112294,-0.35973422050721576,-0.4372167994037369,0.14226363414781412,0.4092238470191226,16.0,0.008,0.4,0.0,1.0,9,-0.4205790515352875,0.09059622071110897,-0.561212691208733,-0.22378103758200374,0.3374316536267292,-0.07361397296619376,False,avg_strategy_sharpe,5,10,1.0,-0.5111752722463965
30,60,30/60,5,5,-0.08651118099605686,-0.0893850666046021,0.13619232256493688,-0.008854755425133743,0.005128378007346557,0.03907188156715816,-0.06757576280031619,-0.5294898427024466,-0.4771203265264476,0.8105788624216456,-1.7898016350193053,-0.41561798418751195,-0.4538396483108523,0.12864487793464072,0.39735973597359736,17.8,0.0089,0.6,0.0,1.0,9,-0.391065614327405,0.12668635174343845,-0.5294898427024466,-0.12769984790311725,0.4017899947993293,-0.1384242283750416,False,avg_strategy_sharpe,5,10,1.0,-0.5177519660708434
