period,symbol,start_date,end_date,trade_days,strategy_cumulative_return,strategy_annual_return,strategy_annual_volatility,strategy_sharpe,strategy_max_drawdown,strategy_calmar,benchmark_cumulative_return,benchmark_annual_return,benchmark_annual_volatility,benchmark_sharpe,benchmark_max_drawdown,benchmark_calmar,excess_annual_return,sharpe_diff,drawdown_improvement,exposure,buy_count,sell_count,total_trade_count,total_transaction_cost,fast_window,slow_window,ma_param
in_sample,000002,2021-04-06,2024-12-31,909,-0.549618012295098,-0.19839013501040592,0.20750042893476026,-0.9616850518648411,-0.5650324820179223,-0.3511127967402645,-0.7141732283464564,-0.29333001315963414,0.38934742551969864,-0.6987897186689455,-0.752683896620278,-0.3897120882707238,0.09493987814922822,-0.26289533319589564,0.18765141460235568,0.2662266226622662,12,12,24,0.012,10,60,10/60
in_sample,300750,2021-04-06,2024-12-31,909,0.9504922980271926,0.20347210095760238,0.3277002504061019,0.7265337913946244,-0.36340017751864895,0.5599119470632636,0.4883965628105462,0.11656086093107199,0.4424102011218232,0.46794228771047863,-0.6287827461607951,0.1853754124819203,0.08691124002653039,0.25859150368414574,0.26538256864214615,0.5093509350935094,11,10,21,0.010499999999999999,10,60,10/60
in_sample,600036,2021-04-06,2024-12-31,909,-0.14078893212466848,-0.04119419444966865,0.18372020238114217,-0.1377657886012986,-0.28622751319179396,-0.14392115555315413,-0.07645875251508782,-0.021809303804285918,0.2915354872716807,0.0694763605131536,-0.509309967141292,-0.04282127822217863,-0.019384890645382735,-0.2072421491144522,0.223082453949498,0.46204620462046203,15,14,29,0.014499999999999999,10,60,10/60
in_sample,600519,2021-04-06,2024-12-31,909,-0.11049342740306067,-0.03193896957187148,0.15578058969372283,-0.13035307657063738,-0.2591176324948874,-0.12326050243802555,-0.22446782687619538,-0.06804700293355759,0.28330011080758816,-0.10805337498590434,-0.398507987541445,-0.17075442666373322,0.03610803336168611,-0.022299701584733045,0.1393903550465576,0.44884488448844884,11,10,21,0.0105,10,60,10/60
in_sample,000001,2021-04-20,2024-12-31,899,-0.3081927668315908,-0.09812574480785452,0.164405768854395,-0.5455224260612286,-0.39132305714931004,-0.25075380306664236,-0.3633136094674553,-0.11887385102091363,0.2917046442116747,-0.2889687830603138,-0.6231380337636547,-0.1907664828335617,0.020748106213059114,-0.25655364300091477,0.2318149766143447,0.3604004449388209,8,7,15,0.0075,10,70,10/70
in_sample,000002,2021-04-20,2024-12-31,899,-0.5455361182243745,-0.1983345805077441,0.2057790603099535,-0.9711173350408339,-0.5506903358470028,-0.3601562758545431,-0.7043973941368071,-0.2893864889066323,0.3910025640445793,-0.679992146285419,-0.7468457468457464,-0.38747825789841744,0.09105190839888821,-0.2911251887554148,0.19615541099874367,0.26362625139043383,11,11,22,0.011,10,70,10/70
in_sample,300750,2021-04-20,2024-12-31,899,0.8541554463135195,0.18895231152805803,0.32663807483046664,0.6905639042124371,-0.4144127089436077,0.4559520194487332,0.35920567981636364,0.08983653597370789,0.4399761509831298,0.413157316492893,-0.6287827461607958,0.14287372947529065,0.09911577555435014,0.2774065877195441,0.21437003721718806,0.5150166852057843,10,9,19,0.009500000000000001,10,70,10/70
in_sample,600036,2021-04-20,2024-12-31,899,-0.14898601262149924,-0.04421446447463895,0.1835899807743231,-0.15508809354073783,-0.29906444739417104,-0.1478425966706891,-0.09108910891088773,-0.02641685364066948,0.2921611148682601,0.053803430464766835,-0.509309967141292,-0.05186792983641131,-0.01779761083396947,-0.20889152400550465,0.2102455197471209,0.4671857619577308,11,10,21,0.010499999999999999,10,70,10/70
in_sample,600519,2021-04-20,2024-12-31,899,-0.11315067873698803,-0.03309966190309277,0.15592873033763305,-0.1377412374796555,-0.22637875869485458,-0.14621363812542673,-0.19698393618183896,-0.05964224395186257,0.283433521178436,-0.07621988304534327,-0.3985079875414449,-0.14966386074171165,0.026542582048769803,-0.061521354434312225,0.17212922884659032,0.44382647385984425,9,8,17,0.0085,10,70,10/70
in_sample,000001,2021-05-07,2024-12-31,889,-0.24493325433339885,-0.07655046214939842,0.16138556348269048,-0.41257752798599345,-0.3497203065222788,-0.2188905268631343,-0.42705005324813516,-0.14604565930882007,0.2906387917010703,-0.3987588462734707,-0.623138033763654,-0.23437128115375605,0.06949519715942165,-0.013818681712522762,0.27341772724137514,0.35545556805399325,7,6,13,0.006500000000000001,10,80,10/80
