strategy_name,symbol,year,strategy_return,benchmark_return,excess_return
graded_v2,000001,2024,0.025276097646512508,0.36375158428390386,-0.33847548663739135
graded_v2,000002,2018,-0.2320212380042631,-0.20323817639539776,-0.028783061608865346
graded_v2,000002,2019,0.13558645293085303,0.40534759358288674,-0.2697611406520337
graded_v2,000002,2020,-0.4115939361507971,-0.07534246575342418,-0.3362514703973729
graded_v2,000002,2021,-0.29712822847022813,-0.27201646090534837,-0.02511176756487976
graded_v2,000002,2022,-0.14220311828265508,-0.022046353872244073,-0.12015676441041101
graded_v2,000002,2023,-0.10298120263837163,-0.39537572254335196,0.29239451990498033
graded_v2,000002,2024,-0.11479740980964936,-0.30592734225621354,0.19112993244656418
graded_v2,300750,2018,-0.06411557023076353,0.05963045912653975,-0.12374602935730328
graded_v2,300750,2019,0.41453221655968187,0.44464993394979935,-0.030117717390117482
graded_v2,300750,2020,1.6900795801703405,2.304681784930497,-0.6146022047601565
graded_v2,300750,2021,0.6042159704015182,0.6754288876591035,-0.07121291725758527
graded_v2,300750,2022,-0.11394312449738686,-0.3298761354252693,0.21593301092788242
graded_v2,300750,2023,-0.06956643031120013,-0.24812697160883346,0.17856054129763332
graded_v2,300750,2024,0.6202154568637552,0.6692015209125475,-0.048986064048792244
graded_v2,600036,2018,-0.027060502305795486,-0.10317460317460336,0.07611410086880788
graded_v2,600036,2019,0.11979280099438872,0.5309734513274329,-0.4111806503330442
graded_v2,600036,2020,-0.06620104336801258,0.20592485549132977,-0.27212589885934235
graded_v2,600036,2021,0.0481051606659737,0.13660874775314502,-0.08850358708717132
graded_v2,600036,2022,-0.0871536721950591,-0.20189773326304683,0.11474406106798773
graded_v2,600036,2023,-0.11570930859650363,-0.21202113606340778,0.09631182746690414
graded_v2,600036,2024,0.03482905618885068,0.4979044425817303,-0.4630753863928796
graded_v2,600519,2018,-0.2041559388809827,-0.1421049878833326,-0.06205095099765012
graded_v2,600519,2019,0.5506352126364977,1.0347707689806538,-0.48413555634415606
graded_v2,600519,2020,0.38572790319193384,0.7086500144816106,-0.32292211128967674
graded_v2,600519,2021,-0.11734836959119432,0.03568464245215819,-0.1530330120433525
graded_v2,600519,2022,0.018315750568106193,-0.1376229633099484,0.15593871387805458
graded_v2,600519,2023,0.06221729410917631,0.02647216659467766,0.035745127514498654
graded_v2,600519,2024,-0.2262537909515211,-0.08464937168068332,-0.14160441927083778
